account_id,customer_id,account_type,current_balance,open_date,status
58ec007f-73f8-47dc-a722-0dbd665bbbe9,f5104ecb-6317-46ae-a3ab-c7665db992fa,Checking,37943.54,2022-08-27,Dormant
1e721461-0685-4449-8d1b-8f13720baa7f,f5104ecb-6317-46ae-a3ab-c7665db992fa,Business,29966.5,2021-04-01,Active
a22b055e-6e0a-4fe7-888c-ac7af124fd35,3fbb0f9b-2007-48ff-887e-09aa60711a00,Business,43247.67,2023-11-13,Active
8f7f85b9-73fa-4696-99e8-d35867e2098d,3fbb0f9b-2007-48ff-887e-09aa60711a00,Savings,41361.45,2024-11-09,Dormant
1498513c-edba-43bb-8844-455e0158246c,b265d2f8-f2ff-4d2b-a579-305a3efddfc1,Checking,13875.78,2024-10-09,Active
e3d34c5d-b396-47e0-aa43-86f687b2f67a,c7d2e093-e908-4625-8472-f43649e0ee70,Checking,35573.93,2025-07-25,Active
24d56ee9-2d37-49ea-a44b-876f64b3552b,40454919-1ac1-4299-9d3a-72384f43b503,Savings,22632.11,2024-09-02,Active
9c339ce4-6119-47f7-8408-81d7926735c6,40454919-1ac1-4299-9d3a-72384f43b503,Checking,22975.75,2024-09-11,Active
b557905c-23e0-48d9-8497-66a8e596c624,7d979a1d-363c-4d87-a83a-a2cda13dd90d,Checking,46162.05,2025-09-05,Closed
b778a2ba-1dab-475b-80ef-57c20d8fec78,60b0ca01-2606-461b-a16d-f09a186ed8cc,Savings,45065.02,2021-01-05,Active
1e3b4b59-b114-4a17-8676-a02f75ca612f,53e2ab1f-1b75-4432-9f2c-91b413f4b2be,Business,682.06,2025-04-05,Active
c3ff4016-7d0b-46f6-bd88-128e61b5feb7,53e2ab1f-1b75-4432-9f2c-91b413f4b2be,Savings,15202.56,2021-08-09,Active
a66428d9-49c8-4750-8ee5-80084dc99497,ab022f0b-b09e-409a-b62e-bb57a595bcf3,Business,31476.68,2021-08-08,Closed
9c81a1b7-a5bf-4c49-aba1-e14ba93ae5af,ab022f0b-b09e-409a-b62e-bb57a595bcf3,Savings,13581.04,2022-07-01,Closed
b9f075de-4fbf-4990-9660-496d6334a96f,b727a570-bafd-4a8b-bd6e-ef7efa046c0d,Business,8913.94,2023-05-26,Dormant
01cfa8f4-ea59-4750-a224-06bda472e2fc,42069ef5-d7c7-4bc3-9f02-67de92392e79,Savings,49335.25,2022-12-22,Dormant
de84c0c5-b12e-45f5-9d93-d1814a3d82eb,6615714d-6abb-4e39-94f9-5d5e603846e9,Savings,451.4,2025-05-28,Active
ae16846b-9984-4588-9bde-17dafa8b0a2d,5fd3390e-2f91-4a86-a181-daa990115f85,Checking,30179.76,2022-07-16,Dormant
b87312a2-a4ba-412c-8c70-5a2196ed25b5,fa426031-7728-4197-bab1-4a21660a46ae,Checking,33843.33,2025-09-17,Closed
0a4de63a-2af1-4c70-93e5-c1b050b85f4c,fa426031-7728-4197-bab1-4a21660a46ae,Savings,26495.6,2025-09-15,Dormant
3864cbd9-f13f-4ee4-a01e-0f4464d2b2ec,a2eccbcd-d263-4ce0-973f-4e23f0936f49,Checking,24289.03,2023-04-08,Dormant
42a7a586-b586-4ca2-b357-b722676a808c,2c54b732-b333-4845-bfd9-dd4f81d026f9,Checking,20735.33,2021-05-10,Active
aa9d638a-f10c-4390-98f0-05855cf2d432,2c54b732-b333-4845-bfd9-dd4f81d026f9,Savings,36213.61,2021-10-12,Active
b75e8dfc-ff7d-4eb1-8b8b-74316fbba163,3632ec27-1c6d-4f9f-913c-7f26db4c8817,Business,35648.62,2025-11-24,Closed
deda816e-9904-4dbe-807b-2ccd4a586092,3632ec27-1c6d-4f9f-913c-7f26db4c8817,Savings,16242.76,2023-01-19,Active
5dd136d5-db77-4770-a216-7449dbd8435b,10f8d90d-cee4-4313-a684-efc51c990702,Savings,22601.87,2024-05-19,Active
f4002f89-3da6-431e-8407-b50722814e5b,10f8d90d-cee4-4313-a684-efc51c990702,Business,24931.65,2024-12-09,Active
f2e9d979-5b67-470e-891a-3e2cf9fc448f,a041f030-d7ed-4468-8f8e-48c8038be8cc,Business,22577.14,2022-04-29,Dormant
13805a68-eb3d-452a-ab5f-5310e496b14d,a041f030-d7ed-4468-8f8e-48c8038be8cc,Business,35221.32,2022-04-28,Closed
db7b4649-a266-4918-bfd5-0eeb69f460ce,12d337e2-10fb-4e6c-86ab-0c77124e600d,Business,24947.72,2025-10-23,Closed
f9bfabd0-3837-4f91-9673-4ca0762d16e2,12d337e2-10fb-4e6c-86ab-0c77124e600d,Savings,35975.31,2023-03-02,Active
