account_id,customer_id,account_type,current_balance,open_date,status
3ca282bc-867c-425f-b33e-f93571354551,f77dbc24-7c2d-42a7-b38c-c00e6aa72ba1,Business,37440.43,2025-09-19,Dormant
e4231ee7-61dc-4fd4-a9af-1981287f3cf9,f77dbc24-7c2d-42a7-b38c-c00e6aa72ba1,Business,37702.42,2023-10-09,Dormant
6cd00e4e-c798-4433-9e72-c5cbc2bed715,e2cae972-4216-4a27-87dd-d373195d0c98,Savings,300.2,2023-07-13,Active
b7014367-f251-451e-9fb0-183cec2a69b6,d6dfd97d-5552-43aa-b77b-710662a99aee,Business,8679.91,2021-05-13,Closed
7d9cf0da-cca1-43b8-8291-1c82d12d7809,d6dfd97d-5552-43aa-b77b-710662a99aee,Savings,22212.69,2024-02-17,Closed
857da5fe-1ec3-4096-8aa2-afc270187cb0,55ae9a10-781c-4a63-962b-888f2ecae025,Savings,4252.21,2024-08-07,Dormant
5e15b35e-29f8-4f72-9a32-556903bd36f3,55ae9a10-781c-4a63-962b-888f2ecae025,Business,25940.08,2021-12-15,Dormant
d6c2914d-6c1e-40ec-93e5-9b380b1f9746,8e6dc9c0-93fa-4a21-ae17-90ca182dffab,Savings,48620.41,2024-08-10,Active
aaa55a06-408c-4a82-826d-1e969fbf047f,4022b8ad-2383-48f2-acb4-ef8be849a65c,Checking,444.57,2024-03-17,Active
191f0c99-b0f4-48aa-9f8b-1eec05e24c56,ae5990b4-685f-464e-8618-22b0da3aa4aa,Checking,30743.02,2023-06-27,Closed
b3b9e08b-68fe-4212-a98f-1fffa008c7b2,119f3f68-b6d9-4537-9aad-5aaf9d5f449a,Business,14231.09,2022-01-04,Active
cd1f3bd4-4e5c-4499-9181-c7b43d0d4c3a,119f3f68-b6d9-4537-9aad-5aaf9d5f449a,Business,10371.92,2023-09-26,Dormant
f4cb095e-9479-41ed-af94-1ee723eef4c3,3f107efe-c7f0-4d71-91b8-f9b082090a19,Savings,10327.5,2023-01-06,Active
4fb3339f-0cf8-4a8c-be3b-6b7fadc8d182,3f107efe-c7f0-4d71-91b8-f9b082090a19,Checking,21785.88,2024-12-31,Closed
2db8f91b-3593-48ba-8646-a21780a67e08,3d9898d7-b3f2-437c-b1c9-fc8c921db9e2,Savings,25165.89,2024-09-23,Dormant
74ad6a1f-90c2-4ab6-9fae-104f74423003,3d9898d7-b3f2-437c-b1c9-fc8c921db9e2,Checking,16065.26,2024-10-21,Closed
199950ab-5c67-47fc-b11d-6f23aa3cf559,5987712a-e096-47c6-97d6-e9f564b94cfd,Business,11992.79,2023-05-18,Closed
0d4f4a23-ccc4-4855-bed0-a495e609f16d,5987712a-e096-47c6-97d6-e9f564b94cfd,Business,16588.73,2022-12-24,Closed
ef67681a-5879-49ef-b5e0-cebb4cc02276,e4308686-5f99-48a5-9fe6-30d383916a60,Checking,26544.3,2025-03-22,Dormant
9e25332a-4e9b-4b77-a860-9a965d079fac,8deb0ed0-88d6-4da9-9126-442b1bd8932b,Savings,44655.52,2021-05-30,Active
09bb3c09-d311-4db0-9533-294d740a189e,f3e154b8-26fc-45b1-b825-ab6a71627c3a,Checking,5704.44,2025-09-17,Closed
9450fd48-d0b8-4c3e-a982-5db78b21ed73,f3e154b8-26fc-45b1-b825-ab6a71627c3a,Checking,25219.21,2022-04-24,Active
4cc60013-fe8b-45f9-9318-b01b2f6bad15,e0075e04-4a57-4606-8d32-a3ddb6e601c7,Savings,5990.85,2023-07-02,Active
338da907-e4b1-4c2a-8dd1-83ff1fc2b8ff,3b176106-3a8c-4ff0-b319-19f9ec5eb6ff,Business,42012.09,2023-12-23,Closed
5b491f23-0ef1-4086-9d7d-c4f431a776d0,3b176106-3a8c-4ff0-b319-19f9ec5eb6ff,Business,13145.69,2021-07-02,Dormant
b8d5dfe0-01a6-46fd-9fa0-303d2c5d0710,bcfc9435-44eb-4b74-8e34-6961d261c449,Checking,40060.56,2024-12-16,Closed
c8dfb3ca-0259-4355-9118-5ffec86bde62,bcfc9435-44eb-4b74-8e34-6961d261c449,Business,28208.31,2024-04-30,Dormant
29c3d0fb-cede-4651-a22a-cc49d75d6bac,93788f24-1eb7-4612-99d5-0a5eca481729,Checking,39252.89,2023-03-30,Dormant
f4cf3271-8700-4e8c-8b7a-9d446d554c79,93788f24-1eb7-4612-99d5-0a5eca481729,Checking,35114.02,2022-11-26,Closed
0c8c3917-1def-49d6-910b-e698eaa5f0f4,cad8e74e-e225-482e-9bed-75c31a5ce535,Business,34079.51,2023-05-16,Closed
e78e00ee-fb9d-458e-acd9-f22eeff6b853,10059a2f-9ebf-4866-9f08-2d10b90b36a3,Savings,16881.96,2024-11-14,Active
