account_id,customer_id,account_type,current_balance,open_date,status
b2357077-5730-442f-a960-c7521a1c5403,46d51bd1-6be8-4851-8a2f-8df188634d66,Savings,16708.26,2024-06-08,Active
ec12a269-5f8a-4f2e-80f7-0e231bbcca30,46d51bd1-6be8-4851-8a2f-8df188634d66,Savings,31085.97,2022-12-21,Dormant
1fc5bda6-c9dc-4618-b30d-0619e7fc27ad,c19ded67-b6f9-483b-959b-37c313e1758c,Checking,30945.88,2025-09-06,Active
87ef2fcf-759b-49db-b8ac-a8fc9c59fb06,839504d4-3468-4dd5-8c33-f5875d73f5c6,Business,38012.04,2025-04-29,Active
c3268a4f-52ea-4eef-9cb0-e21d5a5c2da0,2ff83e41-d58a-4db3-bfe4-7b6cb23c8d0a,Business,2414.75,2025-11-04,Closed
4dab5ae0-fbe6-449c-a4b6-dc6773504bc1,6c320265-6dfb-4079-a454-26f0a8e70f18,Savings,25274.67,2022-10-29,Dormant
07eff7fa-026d-47dc-b70b-5c5592819ec1,1e86bb58-b264-4c74-a93b-2a03aa5ce7dc,Business,30312.49,2022-01-01,Dormant
227f4b4b-54cb-40c1-8a87-6ba203ee174f,1e86bb58-b264-4c74-a93b-2a03aa5ce7dc,Checking,5326.96,2023-04-16,Closed
042283a6-b4d3-4b64-a19a-07fe7b8cedcf,eb1c916c-b630-4d42-b9c7-bc665a24684c,Business,9300.79,2024-05-18,Closed
db16cd43-ab92-48ea-9cef-6f5eb76e133b,f1cfe60b-890a-42ea-8b8c-7ad30e9c55f7,Savings,15838.64,2025-03-20,Active
528acf48-02ff-4e44-8b5c-7e617b60d505,f1cfe60b-890a-42ea-8b8c-7ad30e9c55f7,Savings,31586.21,2022-03-29,Dormant
daea3e91-cd17-42fa-9019-1a0361e5b734,a51b63cc-8602-4585-909e-034e838c4333,Checking,23110.84,2024-04-30,Active
3523940b-30e6-4ec0-861c-f9e247fee9e9,15868fb8-dfc7-4b3a-861f-a681a1d6ccd1,Business,24931.68,2022-12-28,Dormant
60835da5-4e1d-411d-8efb-64dbdfc0c7e3,15868fb8-dfc7-4b3a-861f-a681a1d6ccd1,Business,36692.12,2022-05-14,Dormant
